date,site,contest,status,message,profile_email
2025-12-12T06:27:41.764680,grattweb.fr,grattweb.fr,OK,Participation simulée - succès (dry-run),marie.dupont@example.com
2025-12-12T14:16:56.922948,grattweb.fr,grattweb.fr,OK,Participation simulée - succès (dry-run),marie.dupont@example.com
